atu_id,combos
875,875A
875,921
875,922
875,821B
875,875B
875,875D
875,875E
875,876
875,879
875,920
875,920A
875,958
875,1533
590,300
590,315
590,302
590,303
590,314
590,315A
590,318
590,400
590,531
590,551
590,613
613,300
613,326
613,531
613,554
613,812
613,954
613,1535
613,1641
531,314
531,327B
531,328
531,550
531,554
531,300
531,300A
531,302
531,303A
531,313
531,400
531,465
531,502
531,505
531,513A
531,513C
531,516
531,530
531,551
531,567
531,590
531,1119
650A,300
650A,301
650A,1000
650A,1063
650A,300A
650A,302
650A,326
650A,592
650A,650B
650A,820
650A,1003
650A,1004
650A,1005
650A,1007
650A,1029
650A,1045
650A,1049
650A,1050
650A,1052
650A,1060
650A,1062
650A,1072
650A,1082
650A,1084
650A,1088
650A,1115
650A,1120
650A,1130
650A,1132
650A,1535
650A,1640
650A,1881
650A,1910
